HM_F_BB_Ci(2.0_-2.0)_2_SS5_H_A_SRW_p_MAS,P3_F_BB_nCi_2_NS4_H_A_KA_h_MAS,RA_F_AB_nCi_2_NS6_H_n_D_SRW_e_MAS,RA_F_AB_nCi_2_NS6_H_n_D_SRW_m_MAS,RA_Q_AB_nCi_2_NS6_H_n_D_SRW_e_MAS,MX_F_AB_nCi_2_SS1_n_X_LGP[1-3]_e_MAS,MX_F_AB_nCi_2_SS1_n_X_NSRW_e_MAS,RA_B_AB_nCi_2_NS6_H_n_D_SRW_m-e_MAS,RA_Q_AB_nCi_2_NS6_H_n_D_SRW_m_MAS,HM_F_BB_nCi_2_NS4_H_A_SRW_e_MAS,MN_B_AB_nCi_2_NS1_T_NSRW_c-m_MAS,RA_Q_AB_nCi_2_NS5_H_n_D_SRW_e_MAS,MX_Q_AB_nCi_2_SS1_n_X_NSRW_e_MAS,MX_Q_AB_nCi_2_SS1_n_X_LGP[1-3]_e_MAS,HM_F_BB_nCi_2_NS5_H_A_SRW_e_MAS,P3_F_BB_Ci(2.0_-2.0)_2_NS4_H_A_LGP[1-3]_h_MAS,SD_B_AB_nCi_2_MP5_T_LGP[2-4]_e-p_MAS,MX_F_AB_nCi_2_SS1_A_LGP[1]_e_MAS,SD_B_AB_nCi_2_MP7_T_LGP[2-4]_e-p_MAS,MX_Q_AB_nCi_2_SS1_A_LGP[1]_e_MAS,P3_F_BB_Ci(2.0_-2.0)_2_NS5_H_A_LGP[1_2_6]_h_MAS,P3_F_BB_Ci(2.0_-2.0)_2_NS4_H_A_KA_h_MAS,GM_F_BB_Ci(2.0_-2.0)_2_SS5_H_A_SRW_p_MAS,classreal
0.234439671,79.06891545,1664.96,644.7325169,5727.4624,1.17625,1.17625,2217.879858,858.8430132,24.06860628,-0.5212948,1834.208,3.47225,3.47225,28.22414032,68.71192023,0.324871035,1.92,0.398092969,6.03075,249.5285767,79.06891545,0.277232639,active
0.258857485,55.8910771,1658.08,642.068333,5703.7952,0.50875,0.50875,2208.715065,855.2940751,23.11036217,-0.189496444,1834.208,1.4535,1.4535,25.59038703,45.18649714,0.098071887,0.8525,0.127934442,2.74125,132.5418786,55.8910771,0.310584085,active
0.195761708,71.66763748,2077.76,804.5835542,7147.4944,1.592708333,1.592708333,2767.767426,1071.779297,20.71992294,-0.601584584,2177.3824,5.096216667,5.096216667,35.74463005,61.66281875,0.161111419,3.32875,0.197447683,11.0682,205.8447369,71.66763748,0.242801704,active
0.185018561,26.39174206,1658.08,642.068333,5703.7952,0.74875,0.74875,2208.715065,855.2940751,18.3075704,-0.574968309,1834.208,2.193,2.193,15.52528058,19.21642977,0.094078196,1.0675,0.115015993,3.2895,59.50213285,26.39174206,0.215945466,active
0.190582166,23.11468409,1658.08,642.068333,5703.7952,0.74875,0.74875,2208.715065,855.2940751,18.58439469,-0.574968337,1834.208,2.193,2.193,16.28601076,17.17755877,0.083244448,1.0675,0.100333914,3.2895,54.68965201,23.11468409,0.222321692,active
0.203798119,26.13324214,1678.72,650.0608848,5774.7968,1.869375,1.869375,2236.209444,865.9408893,19.8549941,-0.514489725,1763.2064,5.5898,5.5898,17.52965359,19.63859184,0.134620829,2.429166667,0.158332275,7.291566667,50.4075058,26.13324214,0.236335954,active
0.213144909,27.13210654,1678.72,650.0608848,5774.7968,1.869375,1.869375,2236.209444,865.9408893,19.27256837,-0.514489725,1763.2064,5.5898,5.5898,17.48922581,20.11539952,0.130355354,2.429166667,0.146980566,7.291566667,50.22055788,27.13210654,0.241815524,active
0.198201572,144.6244051,1345.04,520.8479631,4626.9376,1.058333333,1.058333333,1791.716993,693.8173929,30.70675175,-0.42283902,1562.0352,2.907,2.907,53.89397875,127.1512628,0.118985575,1.270833333,0.128629335,3.553,418.8531764,144.6244051,0.232675275,active
0.280648106,71.40747594,1664.96,644.7325169,5727.4624,1.525625,1.525625,2217.879858,858.8430132,28.57848796,-0.608862751,1834.208,4.42,4.42,36.6521102,61.40390206,0.109128075,2.11,0.142202744,6.38775,205.2761497,71.40747594,0.322896735,active
0.272897654,71.21922763,1664.96,644.7325169,5727.4624,1.525625,1.525625,2217.879858,858.8430132,28.57848796,-0.608862751,1834.208,4.42,4.42,36.6521102,61.23890412,0.108604184,2.11,0.141152686,6.38775,198.3021994,71.21922763,0.314314785,active
0.275810243,67.44633671,1664.96,644.7325169,5727.4624,1.525625,1.525625,2217.879858,858.8430132,28.57848796,-0.608862751,1834.208,4.42,4.42,36.6521102,59.27466011,0.111233714,2.11,0.14400776,6.38775,200.0475405,67.44633671,0.317202591,active
0.291273083,62.99784203,1664.96,644.7325169,5727.4624,1.525625,1.525625,2217.879858,858.8430132,29.36535364,-0.608862751,1834.208,4.42,4.42,39.02393027,53.87718882,0.102043537,2.11,0.135533775,6.38775,181.7734801,62.99784203,0.33223718,active
0.28877367,64.00078724,1664.96,644.7325169,5727.4624,1.525625,1.525625,2217.879858,858.8430132,29.10108388,-0.699898898,1834.208,4.42,4.42,39.38606717,54.62193493,0.079438873,2.11,0.103281755,6.38775,180.9380859,64.00078724,0.327717159,active
0.283837767,73.42173418,1664.96,644.7325169,5727.4624,1.525625,1.525625,2217.879858,858.8430132,28.49895558,-0.609122734,1834.208,4.42,4.42,38.80938719,62.54524184,0.103300096,2.11,0.134649236,6.38775,204.9121837,73.42173418,0.322091608,active
0.282291062,65.39278842,1664.96,644.7325169,5727.4624,1.525625,1.525625,2217.879858,858.8430132,28.57848796,-0.608862751,1834.208,4.42,4.42,36.6521102,56.21173311,0.110372265,2.11,0.141886952,6.38775,186.1923828,65.39278842,0.321634002,active
0.271668837,62.25129369,1664.96,644.7325169,5727.4624,1.525625,1.525625,2217.879858,858.8430132,27.27925915,-0.608862751,1834.208,4.42,4.42,32.55408155,52.82443891,0.084078515,2.11,0.105442654,6.38775,179.1506108,62.25129369,0.314230683,active
0.27582741,77.72939312,1664.96,644.7325169,5727.4624,1.525625,1.525625,2217.879858,858.8430132,28.34556173,-0.608862751,1834.208,4.42,4.42,37.03516386,66.50041283,0.112369073,2.11,0.144350809,6.38775,219.6321366,77.72939312,0.315282352,active
0.289587328,67.8133723,1664.96,644.7325169,5727.4624,1.525625,1.525625,2217.879858,858.8430132,28.49895558,-0.608862751,1834.208,4.42,4.42,38.80938719,57.82853096,0.107744278,2.11,0.139158502,6.38775,188.7574059,67.8133723,0.325831475,active
0.295040221,64.38321472,1664.96,644.7325169,5727.4624,1.525625,1.525625,2217.879858,858.8430132,29.10108388,-0.69990085,1834.208,4.42,4.42,39.38606717,54.62095501,0.082887985,2.11,0.105561069,6.38775,179.7347989,64.38321472,0.332858493,active
0.261663558,67.83930292,1664.96,644.7325169,5727.4624,1.525625,1.525625,2217.879858,858.8430132,27.06650853,-0.609122734,1834.208,4.42,4.42,33.07424913,57.64246408,0.105276204,2.11,0.135608694,6.38775,189.1113426,67.83930292,0.302564416,active
0.277003414,59.51992807,1664.96,644.7325169,5727.4624,1.525625,1.525625,2217.879858,858.8430132,28.60978724,-0.608862751,1834.208,4.42,4.42,36.68787796,52.15271093,0.07643843,2.11,0.09745698,6.38775,178.438246,59.51992807,0.3167468,active
0.291597094,55.31828775,1664.96,644.7325169,5727.4624,1.525625,1.525625,2217.879858,858.8430132,29.39472558,-0.608862751,1834.208,4.42,4.42,39.05996992,47.76259215,0.07593183,2.11,0.101565522,6.38775,164.5559032,55.31828775,0.332506119,active
0.279715344,59.46215351,1664.96,644.7325169,5727.4624,1.525625,1.525625,2217.879858,858.8430132,28.60978724,-0.608862751,1834.208,4.42,4.42,36.68787796,52.4661497,0.055948389,2.11,0.070431611,6.38775,181.3343435,59.46215351,0.321041829,active
0.303183106,81.64876605,1664.96,644.7325169,5727.4624,1.525625,1.525625,2217.879858,858.8430132,30.82698785,-0.608862751,1751.3728,4.42,4.42,45.89222746,70.58847258,0.136898398,2.11,0.181478298,6.38775,239.8028385,81.64876605,0.336094956,active
0.285519972,70.42545049,1664.96,644.7325169,5727.4624,1.525625,1.525625,2217.879858,858.8430132,29.82013052,-0.608862751,1834.208,4.42,4.42,41.63661406,60.87724799,0.105573019,2.11,0.136113239,6.38775,216.9520002,70.42545049,0.318708692,active
0.28037768,69.20680912,1664.96,644.7325169,5727.4624,1.525625,1.525625,2217.879858,858.8430132,29.26979058,-0.608862751,1834.208,4.42,4.42,39.28167751,60.04695328,0.101976677,2.11,0.13210249,6.38775,212.5404556,69.20680912,0.315781739,active
0.308639422,59.3506097,1664.96,644.7325169,5727.4624,1.525625,1.525625,2217.879858,858.8430132,31.04743195,-0.608862751,1751.3728,4.42,4.42,45.67217693,52.38912298,0.077545009,2.11,0.104489013,6.38775,179.566516,59.3506097,0.346231516,active
0.277981685,62.07776531,1664.96,644.7325169,5727.4624,1.525625,1.525625,2217.879858,858.8430132,29.07671527,-0.609122734,1751.3728,4.42,4.42,39.49676262,53.93597884,0.101360811,2.11,0.135973798,6.38775,181.185665,62.07776531,0.319369801,active
0.264095228,52.59073877,1658.08,642.068333,5703.7952,1.39375,1.39375,2208.715065,855.2940751,24.86401004,-0.590575036,1834.208,3.83775,3.83775,26.38832967,42.81172369,0.265916519,1.7125,0.314121283,4.93425,152.3123842,52.59073877,0.318809783,active
0.169270466,20.03003553,1658.08,642.068333,5703.7952,0.4275,0.4275,2208.715065,855.2940751,17.65029445,-0.19064841,1834.208,1.27925,1.27925,13.90186736,15.42552338,0.151034281,0.8525,0.178994311,2.74125,52.78861491,20.03003553,0.195981282,active
0.412408659,62.60731814,0,0,0,1.39375,1.39375,0,0,34.17583893,-0.590575036,0,3.83775,3.83775,65.771971,54.09547477,0.265403696,1.7125,0.31032141,4.93425,186.668091,62.60731814,0.435592233,active
0.194642132,22.26731435,1658.08,642.068333,5703.7952,0.892083333,0.892083333,2208.715065,855.2940751,18.03591022,-0.567841692,1834.208,2.5585,2.5585,17.60804153,17.11506254,0.286787897,1.210833333,0.332457062,3.655,49.0561983,22.26731435,0.221208214,active
0.238940303,24.72727735,1678.72,650.0608848,5774.7968,1.17625,1.17625,2236.209444,865.9408893,18.20454534,-0.514488596,1763.2064,3.47225,3.47225,17.40892711,20.06897082,0.234275468,1.92,0.255255764,6.03075,57.75611409,24.72727735,0.259175017,active
0.176073842,36.86147909,1664.96,644.7325169,5727.4624,1.17625,1.17625,2217.879858,858.8430132,19.01740025,-0.523822001,1751.3728,3.47225,3.47225,18.57129141,33.37490326,0.292197139,1.92,0.328462681,6.03075,120.4077488,36.86147909,0.197046338,active
0.182543749,33.45705877,1664.96,644.7325169,5727.4624,1.17625,1.17625,2217.879858,858.8430132,19.01740025,-0.523822001,1751.3728,3.47225,3.47225,18.57129141,30.59191646,0.304860851,1.92,0.350170213,6.03075,110.4062732,33.45705877,0.204563292,active
0.202448572,53.6022554,1658.08,642.068333,5703.7952,0.820416667,0.820416667,2208.715065,855.2940751,21.51868617,-0.650955612,1834.208,2.37575,2.37575,19.85386201,42.80027693,0.130472019,1.139166667,0.157565888,3.47225,141.9480087,53.6022554,0.239109335,active
