name,HM_B_AB_nCi_2_SS1_X_LGP[1_2_6]_h-s_MAS,P3_F_BB_Ci(2.0_-2.0)_2_NS2_H_A_LGP[1_2_6]_h_MAS,GM_F_AB_Ci(2.0_-2.0)_2_SS2_H_T_LGP[1-3]_e_MAS,HM_B_AB_nCi_2_SS6_G_LGP[1-3]_e-s_MAS,HM_F_BB_Ci(2.0_-2.0)_2_NS6_H_C_LGP[1]_p_MAS,MN_B_AB_nCi_2_NS1_T_LGP[1]_c-m_MAS,N3_B_AB_nCi_2_SS2_H_n_T_LGP[1]_c-m_MAS,I50_Q_AB_nCi_2_SS1_C_LGP[1]_m_MAS,P3_F_BB_Ci(2.0_-2.0)_2_NS3_H_A_LGP[2-4]_h_MAS,MX_B_AB_nCi_2_SS4_H_n_X_LGP[2-4]_p-h_MAS,P3_Q_AB_Ci(2.0_-2.0)_2_MP7_T_LGP[2-4]_p_MAS,P2_B_AB_nCi_2_SS3_H_T_LGP[2-4]_c-m_MAS,P3_B_BB_Ci(2.0_-2.0)_2_SS4_H_T_LGP[4-6]_e-s_MAS,MX_B_AB_nCi_2_NS1_A_LGP[1]_c-m_MAS,MX_B_AB_nCi_2_SS2_H_n_X_LGP[2-4]_h-s_MAS,N2_B_AB_nCi_2_NS4_T_LGP[4-6]_c-m_MAS,Q2_B_AB_nCi_2_SS8_P_LGP[4-6]_m-s_MAS,P3_F_BB_Ci(2.0_-2.0)_2_NS4_H_A_LGP[2-4]_h_MAS,RA_B_AB_nCi_2_MP5_P_LGP[4-6]_e-s_MAS,I50_F_AB_nCi_2_NS1_n_P_LGP[1_2_6]_m_MAS,RA_Q_AB_nCi_2_NS5_A_LGP[4-6]_h_MAS,N3_B_AB_nCi_2_NS1_T_KA_c-m_MAS,HM_B_AB_nCi_2_SS1_X_KA_h-s_MAS,RA_B_AB_nCi_2_SS4_X_SRW_c-p_MAS,P2_Q_BB_Ci(2.0_-2.0)_2_NS4_H_A_KA_p_MAS,K_B_AB_nCi_2_NS3_T_NSRW_h-s_MAS,K_B_AB_nCi_2_SS8_T_NSRW_e-h_MAS,N3_Q_AB_nCi_2_NS8_n_T_KA_c_MAS,HM_F_BB_Ci(2.0_-2.0)_2_SS5_H_A_SRW_p_MAS,K_Q_AB_Ci(2.0_-2.0)_2_NS3_H_n_T_KA_h_MAS,RA_B_AB_nCi_2_NS6_H_n_D_SRW_m-p_MAS,HM_B_BB_nCi_2_NS0_H_A_SRW_m-e_MAS,RA_B_AB_nCi_2_SS4_A_SRW_c-p_MAS,HM_B_AB_nCi_2_SS4_M_SRW_p-h_MAS,MX_F_BB_nCi_2_NS1_H_X_NSRW_m_MAS,RA_B_AB_nCi_2_NS8_H_n_D_SRW_m-e_MAS,RA_Q_AB_nCi_2_NS8_H_n_D_SRW_e_MAS,HM_F_BB_Ci(2.0_-2.0)_2_NS5_H_A_SRW_e_MAS,P3_F_BB_nCi_2_NS4_H_A_KA_h_MAS,SD_Q_AB_nCi_2_MP6_P_NSRW_m_MAS,I50_B_AB_nCi_2_SS1_P_KA_h-s_MAS,RA_Q_AB_nCi_2_NS7_H_n_D_SRW_m_MAS,RA_F_AB_nCi_2_NS6_H_n_D_SRW_e_MAS,RA_F_AB_nCi_2_NS6_H_n_D_SRW_m_MAS,RA_Q_AB_nCi_2_NS6_H_n_D_SRW_e_MAS,MX_F_AB_nCi_2_SS1_n_X_LGP[1-3]_e_MAS,MX_F_AB_nCi_2_SS1_n_X_NSRW_e_MAS,RA_B_AB_nCi_2_NS6_H_n_D_SRW_m-e_MAS,RA_Q_AB_nCi_2_NS6_H_n_D_SRW_m_MAS,HM_F_BB_nCi_2_NS4_H_A_SRW_e_MAS,MN_B_AB_nCi_2_NS1_A_LGP[1]_c-m_MAS,MN_B_AB_nCi_2_NS1_A_NSRW_c-m_MAS,MN_B_AB_nCi_2_NS1_A_KA_c-m_MAS,P3_B_BB_Ci(2.0_-2.0)_2_NS4_H_A_LGP[1_2_6]_p-h_MAS,RA_Q_AB_nCi_2_NS7_H_n_D_SRW_e_MAS,MN_B_AB_nCi_2_NS1_T_NSRW_c-m_MAS,MX_B_AB_nCi_2_NS3_D_LGP[1]_m-e_MAS,RA_Q_AB_nCi_2_NS8_H_n_D_SRW_m_MAS,MX_Q_AB_nCi_2_NS3_D_LGP[1]_e_MAS,HM_Q_BB_nCi_2_SS2_H_A_SRW_e_MAS,HM_Q_BB_Ci(2.0_-2.0)_2_SS2_H_A_SRW_e_MAS,RA_B_AB_nCi_2_NS7_H_n_D_SRW_m-e_MAS,P3_B_BB_Ci(2.0_-2.0)_2_NS2_H_A_LGP[1-3]_p-h_MAS,P3_B_BB_Ci(2.0_-2.0)_2_NS2_H_A_LGP[1_2_6]_p-h_MAS,RA_Q_AB_nCi_2_NS5_H_n_D_SRW_e_MAS,MX_Q_AB_nCi_2_SS1_n_X_NSRW_e_MAS,MX_Q_AB_nCi_2_SS1_n_X_LGP[1-3]_e_MAS,HM_B_BB_nCi_2_SS2_H_A_SRW_e-p_MAS,HM_B_BB_Ci(2.0_-2.0)_2_SS2_H_A_SRW_e-p_MAS,GM_F_BB_nCi_2_NS5_H_A_SRW_h_MAS,GM_F_BB_Ci(2.0_-2.0)_2_NS5_H_A_SRW_h_MAS,HM_F_BB_Ci(2.0_-2.0)_2_NS5_H_A_SRW_m_MAS,HM_F_BB_nCi_2_NS5_H_A_SRW_m_MAS,HM_F_BB_nCi_2_NS5_H_A_SRW_e_MAS,MN_B_AB_nCi_2_NS1_X_KA_c-m_MAS,P3_F_BB_Ci(2.0_-2.0)_2_NS4_H_A_LGP[1-3]_h_MAS,MX_B_AB_nCi_2_SS2_H_n_X_LGP[2-4]_p-h_MAS,MN_B_AB_nCi_2_NS1_n_X_LGP[1-3]_c-m_MAS,MN_B_AB_nCi_2_NS1_n_X_NSRW_c-m_MAS,MN_B_AB_nCi_2_NS1_X_LGP[1]_c-m_MAS,MN_B_AB_nCi_2_NS1_X_NSRW_c-m_MAS,Q2_B_AB_nCi_2_NS7_P_SRW_e-h_MAS,RA_B_BB_nCi_2_SS3_H_D_SRW_p-h_MAS,I50_B_AB_nCi_2_MP3_P_KA_m-e_MAS,I50_F_AB_nCi_2_MP1_P_KA_p_MAS,Q3_F_BB_nCi_2_SS8_H_P_SRW_s_MAS,RA_B_AB_nCi_2_SS3_n_C_SRW_p-s_MAS,I50_B_BB_nCi_2_NS7_H_P_SRW_e-p_MAS,Q3_Q_BB_nCi_2_SS6_H_P_SRW_e_MAS,V_F_AB_nCi_2_SS4_A_NSRW_e_MAS,MX_F_AB_nCi_2_NS2_H_n_X_LGP[2-4]_e_MAS,MX_F_AB_nCi_2_NS2_D_KA_e_MAS,RA_B_AB_nCi_2_SS3_A_SRW_m-e_MAS,MX_B_AB_nCi_2_NS2_D_KA_m-e_MAS,MX_Q_AB_nCi_2_NS2_D_KA_e_MAS,HM_B_BB_Ci(2.0_-2.0)_2_SS5_A_KA_e-s_MAS,MX_Q_AB_nCi_2_NS2_H_n_X_LGP[2-4]_e_MAS,RA_F_AB_nCi_2_SS3_A_SRW_m_MAS,V_Q_AB_nCi_2_SS4_A_LGP[2-4]_e_MAS,MX_F_AB_nCi_2_SS2_H_n_X_LGP[2-4]_s_MAS,MX_B_AB_nCi_2_SS2_H_n_X_LGP[2-4]_e-s_MAS,P2_F_AB_Ci(2.0_-2.0)_2_NS2_A_KA_e_MAS,MN_F_AB_nCi_2_SS6_P_KA_e_MAS,SD_B_AB_nCi_2_MP5_T_LGP[2-4]_e-p_MAS,MX_F_AB_nCi_2_SS1_A_NSRW_e_MAS,MX_F_AB_nCi_2_SS1_A_LGP[1]_e_MAS,SD_B_AB_nCi_2_MP7_T_LGP[2-4]_e-p_MAS,RA_B_AB_nCi_2_NS7_A_LGP[4-6]_e-h_MAS,MX_Q_AB_nCi_2_SS1_A_LGP[1]_e_MAS,RA_B_AB_nCi_2_NS2_n_C_SRW_p-s_MAS,RA_B_AB_nCi_2_NS5_A_LGP[4-6]_e-h_MAS,RA_F_AB_nCi_2_SS1_A_NSRW_e_MAS,MX_F_AB_nCi_2_SS2_H_n_X_LGP[2-4]_e_MAS,MX_F_AB_nCi_2_SS2_H_n_X_LGP[2-4]_p_MAS,P3_B_AB_Ci(2.0_-2.0)_2_NS3_C_NSRW_m-s_MAS,P3_F_BB_Ci(2.0_-2.0)_2_NS5_H_A_LGP[1_2_6]_h_MAS,RA_B_AB_nCi_2_NS6_H_n_D_SRW_c-m_MAS,RA_B_AB_nCi_2_NS6_H_n_D_SRW_e-c_MAS,HM_F_BB_nCi_2_SS5_H_A_SRW_p_MAS,P3_F_BB_Ci(2.0_-2.0)_2_NS4_H_A_KA_h_MAS,P3_F_BB_Ci(2.0_-2.0)_2_NS4_H_A_LGP[1_2_6]_h_MAS,GM_F_BB_Ci(2.0_-2.0)_2_SS5_H_A_SRW_p_MAS,GM_F_BB_nCi_2_SS5_H_A_SRW_p_MAS,HM_F_BB_nCi_2_SS7_H_A_SRW_p_MAS,HM_F_BB_Ci(2.0_-2.0)_2_SS7_H_A_SRW_p_MAS,P3_B_BB_Ci(2.0_-2.0)_2_NS2_H_A_LGP[2-4]_p-h_MAS,classreal,Class
407 35,0.354152465,3.251697819,1.594351213,0,1523.105274,-0.53127996,0.055597575,1.167446301,4.673522914,3.851729535,2.309109251,0.015399778,0.081351826,0.53778385,0.533867848,1.863892006,0.04752839,19.11060628,0.005898371,2,13.67581155,1.81136517,0.354152465,0.564385343,1172.826024,-1.102878128,-0.526237989,280.8837538,0.505413097,2.031275685,3075.55811,1.325278013,0.564385343,1.68384806,3.612313196,12337.27191,32160.768,63.80003628,39.91759774,0.041398159,0.969846209,1319.180892,890.72,341.6913064,2707.7888,1.471875,1.471875,1038.741572,398.4742283,31.27769687,-0.26563998,-0.26563998,-0.26563998,180.9822766,8964.352,-0.53127996,17.84258358,4732.731448,46.512,1.208276004,1.208276004,3438.837285,17.87289116,17.87289116,757.8112,4.145875,4.145875,3.495279718,3.495279718,23.88126909,23.88126909,18.06748363,18.06748363,63.80003628,-0.26563998,33.89018813,2.811970334,-0.26563998,-0.26563998,-0.26563998,-0.26563998,0,1.332306863,0.243639241,0.573023849,0.048248798,1.598767146,3721.039701,0.180807634,0.23089767,13.395,14.635,0.177259654,17.06707259,44.4904,0.10410055,38.6656,0.058309097,1.880757517,0.433706457,1.146888557,11.97841688,0,0.382686694,1.57625,1.57625,0.46314772,505.8515263,4.743,49.707124,31.32448189,1.57625,1.066074519,3.212153573,6.588608334,108.6683888,74.79502597,194.9754772,0.505413097,39.91759774,33.26826803,0.51407385,0.51407385,0.393717432,0.393717432,10.12231863,active,1
411 Comp,0.358221954,3.174299775,1.674656525,0,497.9210529,-0.545705471,-0.008219325,0.125,4.863182357,2.661313002,1.587638948,0.018184538,0.083452843,0.486139252,0.255600119,2.468791926,0.052337586,20.28140273,0.006022201,0,27.77094298,1.190510604,0.358221954,0.414497412,975.7322747,-0.602615686,0.780559462,284.2699545,0.435871553,3.38380922,2833.645749,1.325278013,0.414497412,0,2.277420594,11904.75835,31033.2928,69.85191558,40.52174595,0.014537398,0.028570611,1281.101444,878.56,337.0265787,2670.8224,1.15125,1.15125,1024.560799,393.0343071,32.76642454,-0.272852735,-0.272852735,-0.272852735,167.0429331,8705.5872,-0.545705471,17.84258358,4566.813852,46.512,1.145409728,1.145409728,3339.571878,16.1319071,16.1319071,748.5696,3.3235,3.3235,3.039703754,3.039703754,25.92927913,25.92927913,19.28637742,19.28637742,69.85191558,-0.272852735,34.13754624,1.798408876,-0.272852735,-0.272852735,-0.272852735,-0.272852735,1477.395334,1.178721414,0.021965066,0.076061651,0.057748166,1.387392953,1425.403938,0.597565308,0.175938972,10.705,14.62,0.16114514,17.04957986,44.4448,0.10526584,32.5432,0.05300827,1.402345909,0.274914987,0.833919778,11.9652866,0.733141753,0.065034911,1.57625,1.57625,0.081849679,1204.435079,4.743,47.448839,64.97601103,1.57625,0.766153846,1.838878944,7.286783694,109.6105253,75.54917149,196.9413818,0.435871553,40.52174595,33.09068663,0.443767187,0.443767187,0.378837341,0.378837341,9.147350759,active,1
412 Comp,0.476684845,1.194328248,1.587881911,0,487.64239,-0.568000034,-0.013190794,0.700871657,1.971942595,2.140183694,2.324736289,0.01727458,0.091265405,0.31205921,0.269662998,1.231822515,0.0262523,6.990398452,0.006159321,1.5,22.2322087,0.768681828,0.476684845,0.400003374,134.1151332,-1.125232679,-1.650745081,288.0025624,0.292629032,8.641268651,0,2.159578418,0.400003374,4.036002283,0.458022994,0,0,37.72,15.05603468,0.035673683,0.811833195,0,0,0,0,0.892083333,0.892083333,0,0,18.86,-0.284000017,-0.284000017,-0.284000017,32.30241634,0,-0.568000034,0,0,0,1.852602083,1.852602083,0,4.160873801,4.160873801,0,2.5585,2.5585,2.673257656,2.673257656,17.75874438,17.75874438,14.65673582,14.65673582,37.72,-0.284000017,11.50022844,1.624957668,-0.284000017,-0.284000017,-0.284000017,-0.284000017,1638.673665,0,0.205456081,0.57238125,0.057105198,0.756849884,3129.799676,0.211837819,0.032379608,4.75,0,0,0,0,0.030553171,16.34,0,0.270419345,0.13989147,0.373953956,11.78663862,0.597511571,0.192407948,1.210833333,1.210833333,0.211740141,670.0291951,3.655,19.61364017,35.07743816,1.210833333,0.6859375,0.969566406,6.245508228,25.14450474,0,0,0.292629032,15.05603468,9.285933737,0.292629032,0.292629032,0.21828017,0.21828017,1.971006858,active,1
415 Comp,0.453295011,3.476693687,1.565911297,0,984.0647457,-0.546422711,0.109044803,0.1875,6.189859055,2.716860181,1.500683667,0.041787944,0.179625398,0.47890738,0.522732059,2.913442181,0.05289581,24.79398204,0.00581977,2,27.04591334,1.395508409,0.453295011,0.435017935,1281.335433,-1.326089671,-0.272473497,228.8345706,0.224437459,-0.358476838,3277.710559,1.842350401,0.435017935,0,2.277420594,22426.24799,57913.6384,20.91285423,56.31106268,0.019616238,0.511834323,2702.516341,1658.08,642.068333,5703.7952,1.15125,1.15125,2208.715065,855.2940751,22.27349071,-0.273211355,-0.273211355,-0.273211355,227.5494487,18022.5728,-0.546422711,14.86881965,8684.25146,38.76,1.723929242,1.723929242,6978.989719,17.35340847,17.35340847,1834.208,3.3235,3.3235,3.770643194,3.770643194,16.48443941,16.48443941,4.360987728,4.360987728,20.91285423,-0.273211355,48.47359721,2.417484653,-0.273211355,-0.273211355,-0.273211355,-0.273211355,1401.492333,0.956493184,0.129284623,0.365829915,0.055455626,1.520569471,3525.43362,0.508162526,0.192855913,11.63,12.07,0.381866367,14.07581593,36.6928,0.121073655,35.3552,0.111007665,1.527151766,0.428815476,1.179327404,9.052322331,0.591284625,0.117071584,1.57625,1.57625,0.155117768,1272.707477,4.743,50.17879255,63.16246417,1.57625,1.112307692,2.716336726,7.427650556,166.7508741,229.6491552,593.0469572,0.224437459,56.31106268,45.57831376,0.273394046,0.273394046,0.232088982,0.232088982,10.1022795,active,1
416 Comp,0.460580019,3.178811189,1.535980835,0,986.2218615,-0.546422711,0.118822655,0.1875,5.922599514,2.69538845,1.419922622,0.044876185,0.184780523,0.47890738,0.521889513,2.950317096,0.052824587,24.67313914,0.00558233,2,25.17715122,1.425005635,0.460580019,0.435490363,1264.996614,-1.256925688,0.240194056,227.3984561,0.213449834,-0.524197837,3278.005572,1.925837925,0.435490363,0,2.277420594,22426.24799,57913.6384,19.29135242,55.23900518,0.019083268,0.576477691,2702.516341,1658.08,642.068333,5703.7952,1.15125,1.15125,2208.715065,855.2940751,21.34180328,-0.273211355,-0.273211355,-0.273211355,206.0547889,18022.5728,-0.546422711,14.86881965,8684.25146,38.76,1.836065489,1.836065489,6978.989719,15.77756684,15.77756684,1834.208,3.3235,3.3235,3.868086002,3.868086002,15.4101788,15.4101788,3.997678825,3.997678825,19.29135242,-0.273211355,45.38635321,2.400856096,-0.273211355,-0.273211355,-0.273211355,-0.273211355,1461.759689,0.950945788,0.123245376,0.352813773,0.057247084,1.534927704,3699.366398,0.50036988,0.166159546,11.63,12.07,0.416581491,14.07581593,36.6928,0.285496436,35.3552,0.121099271,1.235415979,0.432307245,1.189060069,8.081575883,0.583062222,0.106565692,1.57625,1.57625,0.137272703,1221.297707,4.743,50.65261425,59.43329667,1.57625,1.112307692,2.72160299,7.503638961,151.087836,231.4008997,597.5706698,0.213449834,55.23900518,41.30430037,0.259402579,0.259402579,0.2233933,0.2233933,9.319635841,active,1
417 Comp,0.460999,3.047105223,1.508864737,0,996.6158353,-0.546422698,0.12776083,0.125,6.008463663,2.733837466,1.364274884,0.047421576,0.200999344,0.478909348,0.516060595,3.168902384,0.050765353,25.51156467,0.005306505,2,25.77607898,1.455162731,0.460999,0.437380064,1316.861311,-1.421896063,0.149072456,219.7298541,0.203027746,-0.505343791,3400.398281,1.99025945,0.437380064,0,2.277420594,22426.24799,57913.6384,18.27900707,54.14878786,0.018739825,0.524259222,2702.516341,1658.08,642.068333,5703.7952,1.15125,1.15125,2208.715065,855.2940751,20.72264857,-0.273211349,-0.273211349,-0.273211349,196.0837803,18022.5728,-0.546422698,14.86881965,8684.25146,38.76,1.925529576,1.925529576,6978.989719,15.16112628,15.16112628,1834.208,3.3235,3.3235,4.010715008,4.010715008,14.24949386,14.24949386,3.773152388,3.773152388,18.27900707,-0.273211349,43.70399877,2.414316614,-0.273211349,-0.273211349,-0.273211349,-0.273211349,1468.490474,0.876472391,0.127225416,0.34083784,0.05614265,1.502233192,3429.870129,0.492812624,0.145802475,11.63,12.07,0.416581491,14.07581593,36.6928,0.369911543,35.3552,0.121099271,1.310783214,0.435969166,1.19697113,7.880323333,0.569784046,0.092778783,1.57625,1.57625,0.116043636,1237.489862,4.743,49.57369534,59.10916099,1.57625,1.112307692,2.742668044,7.263641972,142.4476207,231.3424189,597.4196487,0.203027746,54.14878786,39.02907971,0.246448995,0.246448995,0.209397216,0.209397216,9.14489091,active,1
421 Comp,0.465532342,3.129833374,1.508277658,0,988.5331093,-0.54642502,0.128784746,0.125,6.213291079,2.796062424,1.313351143,0.049901653,0.198417765,0.478768323,0.514832794,2.85895344,0.049394878,25.62425584,0.00487475,2,23.12317846,1.491363527,0.465532342,0.433602483,1291.497484,-1.49465629,0.703086705,253.5488537,0.204859416,-0.729791015,3268.904379,1.99025945,0.433602483,0,2.277420594,22426.24799,57913.6384,18.27900707,54.65763025,0.018534592,0.565615291,2702.516341,1658.08,642.068333,5703.7952,1.15125,1.15125,2208.715065,855.2940751,20.72264857,-0.27321251,-0.27321251,-0.27321251,199.1869238,18022.5728,-0.54642502,14.86881965,8684.25146,38.76,1.925529576,1.925529576,6978.989719,15.44112571,15.44112571,1834.208,3.3235,3.3235,3.983106515,3.983106515,14.61346545,14.61346545,3.773152388,3.773152388,18.27900707,-0.27321251,44.6545724,2.452752695,-0.27321251,-0.27321251,-0.27321251,-0.27321251,1457.622277,0.895875039,0.123452763,0.334122474,0.057118593,1.457890665,3395.676541,0.48645212,0.144856766,11.63,12.07,0.381866367,14.07581593,36.6928,0.374395514,35.3552,0.111007665,1.25323328,0.427090124,1.172912314,7.882748128,0.574008653,0.083353879,1.57625,1.57625,0.099554946,1098.102144,4.743,48.11039196,53.34768034,1.57625,1.112307692,2.73128726,7.215796856,145.1461431,229.7025707,593.1848978,0.204859416,54.65763025,39.80394456,0.248294106,0.248294106,0.213173133,0.213173133,9.322182878,active,1
422 Comp,0.463352106,3.073763988,1.535948474,0,984.3021319,-0.54642502,0.119024315,0.1875,5.786106687,2.925692495,1.327464988,0.044935266,0.178075792,0.478768311,0.493664482,2.613873356,0.050066921,23.90985003,0.005183296,2,23.8073816,1.411705578,0.463352106,0.432657624,1258.765887,-1.25340479,1.170810391,247.9504236,0.212646454,0.034359836,3240.833954,1.925837925,0.432657624,0,2.277420594,22330.01766,57665.1328,19.29135242,53.72132857,0.018515282,0.56319215,2698.967403,1658.08,642.068333,5703.7952,1.15125,1.15125,2208.715065,855.2940751,21.34180328,-0.27321251,-0.27321251,-0.27321251,198.3239562,17998.9056,-0.54642502,14.86881965,8646.98761,38.76,1.836065489,1.836065489,6969.824926,15.26030401,15.26030401,1834.208,3.3235,3.3235,3.852381304,3.852381304,15.53743371,15.53743371,3.997678825,3.997678825,19.29135242,-0.27321251,43.93462931,2.450700393,-0.27321251,-0.27321251,-0.27321251,-0.27321251,1468.703714,0.957315935,0.12964676,0.338133998,0.056290863,1.450186219,3751.6052,0.496363716,0.149402639,11.63,12.07,0.381866367,14.07581593,36.6928,0.322629103,35.3552,0.111007665,1.279746654,0.423184413,1.162278049,8.058664204,0.582895753,0.085197676,1.57625,1.57625,0.102753285,1091.914571,4.743,47.85614522,52.98620414,1.57625,1.112307692,2.720754733,7.172654002,145.316769,229.7027245,593.1852948,0.212646454,53.72132857,39.74821522,0.258434879,0.258434879,0.221570234,0.221570234,8.960053286,active,1
423 Comp,0.448348367,3.428273918,1.598769766,0,980.9476119,-0.54642274,0.092333534,0.1875,5.40813383,2.732541151,1.459246763,0.029223741,0.10449802,0.478903111,0.522242228,2.828730339,0.051614535,23.21868906,0.005771452,1.5,30.61278867,1.255244767,0.448348367,0.433128246,1250.236299,-1.008908839,0.17851972,238.4613003,0.246578891,0.395348868,3202.187272,1.729862774,0.433128246,0,2.277420594,22233.78734,57416.6272,23.92993981,56.15779726,0.018963301,0.501562612,2695.418465,1658.08,642.068333,5703.7952,1.15125,1.15125,2208.715065,855.2940751,23.83423441,-0.27321137,-0.27321137,-0.27321137,230.9350731,17975.2384,-0.54642274,14.86881965,8609.72376,38.76,1.579251902,1.579251902,6960.660134,17.40823006,17.40823006,1834.208,3.3235,3.3235,3.560355802,3.560355802,18.95780262,18.95780262,5.049309287,5.049309287,23.92993981,-0.27321137,48.40065214,2.429386543,-0.27321137,-0.27321137,-0.27321137,-0.27321137,1419.273015,0.963940757,0.13060736,0.353396484,0.055192963,1.49531766,1626.121684,0.546413536,0.170290104,11.63,12.07,0.416581491,14.07581593,36.6928,0.110918446,35.3552,0.121099271,1.426236229,0.425756745,1.170906996,9.035343984,0.603181197,0.104180938,1.57625,1.57625,0.135198742,1280.095753,4.743,49.34548279,68.18135364,1.57625,1.112307692,2.710646334,7.302501089,169.4839737,231.3278335,597.3819833,0.246578891,56.15779726,46.15883551,0.29878014,0.29878014,0.249711042,0.249711042,9.886275251,active,1
426 Comp 2(Androsta-1. 4-diene-3. 17-dione),0.459341931,2.983214541,1.536859255,0,993.4536831,-0.546422726,0.116372453,0.1875,5.350230558,2.753827257,1.347474087,0.037760708,0.155772396,0.478905079,0.516106258,3.091199176,0.050701327,24.18768788,0.005219898,2,30.68235858,1.327887438,0.459341931,0.435490375,1290.02141,-1.304545099,0.285714175,228.0253132,0.211084872,-0.195078702,3399.808255,1.925837925,0.435490375,0,2.277420594,22247.53453,57452.128,19.29135242,53.85858771,0.01859073,0.516050161,2695.418465,1658.08,642.068333,5703.7952,1.15125,1.15125,2208.715065,855.2940751,21.34180328,-0.273211363,-0.273211363,-0.273211363,197.8942705,17975.2384,-0.546422726,14.86881965,8615.047168,38.76,1.836065489,1.836065489,6960.660134,15.11805777,15.11805777,1834.208,3.3235,3.3235,3.888923568,3.888923568,15.26591173,15.26591173,3.997678825,3.997678825,19.29135242,-0.273211363,43.39831518,2.426081078,-0.273211363,-0.273211363,-0.273211363,-0.273211363,1497.967606,0.881217027,0.12489727,0.332449323,0.055828823,1.477219477,3725.485799,0.492812624,0.138819317,11.63,12.07,0.416581491,14.07581593,36.6928,0.324308368,35.3552,0.121099271,1.279244708,0.433250053,1.189397218,7.793165558,0.57871946,0.085243522,1.57625,1.57625,0.102081134,1278.550412,4.743,48.74824275,66.99020291,1.57625,1.112307692,2.736977652,7.143947085,143.9244116,231.3424189,597.4196487,0.211084872,53.85858771,39.27913509,0.256977799,0.256977799,0.215001463,0.215001463,8.922255381,active,1
427 Comp 3(17§-Hydroxyandrosta-1. 4-dien-3-one),0.441976677,3.420767223,1.59924224,0,989.1417396,-0.546269664,0.093074574,0.1875,5.206504687,2.779388655,1.470485551,0.029334049,0.144245916,0.482617726,0.509227904,3.165948718,0.051875744,22.81118766,0.00589976,1.5,27.3216767,1.27119147,0.441976677,0.423142142,1268.61621,-1.050670744,0.306301308,209.967131,0.243396566,3.104858594,3416.83059,1.729862774,0.423142142,0,2.277420594,22256.69932,57475.7952,23.92993981,55.17238303,0.019027099,0.551089031,2695.418465,1658.08,642.068333,5703.7952,1.15125,1.15125,2208.715065,855.2940751,23.83423441,-0.273134832,-0.273134832,-0.273134832,230.850311,17975.2384,-0.546269664,14.86881965,8618.596106,38.76,1.579251902,1.579251902,6960.660134,17.41736037,17.41736037,1834.208,3.3235,3.3235,3.585561974,3.585561974,18.103376,18.103376,5.049309287,5.049309287,23.92993981,-0.273134832,47.36734663,2.447065945,-0.273134832,-0.273134832,-0.273134832,-0.273134832,1305.702447,1.030107512,0.125221891,0.338463924,0.060119028,1.528817586,1627.953003,0.508162526,0.198463597,11.63,12.07,0.416581491,14.07581593,36.6928,0.115577477,35.3552,0.121099271,1.712676238,0.425006442,1.168908322,9.565951338,0.597000178,0.105249002,1.57625,1.57625,0.137779699,1180.467984,4.743,51.36827089,65.08957136,1.57625,1.112307692,2.716336726,7.534231728,169.2069344,231.342198,597.4190783,0.243396566,55.17238303,46.09298779,0.295653719,0.295653719,0.245314042,0.245314042,9.746710831,active,1
428 Comp 4(11a-Hydroxyandrost-4-ene-3. 17-dione),0.447604975,3.11368345,1.566697417,0,991.3178652,-0.546269664,0.105889734,0.1875,5.17580355,2.693566857,1.396006785,0.034120282,0.147743137,0.482617726,0.523663844,3.199915133,0.048685471,23.53792938,0.005157148,2,28.25208375,1.306506716,0.447604975,0.423601673,1252.417097,-0.95667989,0.658067665,208.3622523,0.224559466,0.472074104,3417.420616,1.842350401,0.423601673,0,2.277420594,22256.69932,57475.7952,20.91285423,54.6503367,0.018711273,0.542642629,2695.418465,1658.08,642.068333,5703.7952,1.15125,1.15125,2208.715065,855.2940751,22.27349071,-0.273134832,-0.273134832,-0.273134832,208.3562781,17975.2384,-0.546269664,14.86881965,8618.596106,38.76,1.723929242,1.723929242,6960.660134,15.77177607,15.77177607,1834.208,3.3235,3.3235,3.729370459,3.729370459,16.36713603,16.36713603,4.360987728,4.360987728,20.91285423,-0.273134832,44.6687284,2.399874045,-0.273134832,-0.273134832,-0.273134832,-0.273134832,1440.116063,0.936587582,0.125584385,0.327812012,0.057343611,1.530016151,3699.366398,0.50036988,0.175154972,11.63,12.07,0.416581491,14.07581593,36.6928,0.254792931,35.3552,0.121099271,1.440303911,0.43366985,1.192305758,8.35262865,0.585938032,0.096162479,1.57625,1.57625,0.121006621,1243.117167,4.743,51.40854269,66.00219212,1.57625,1.112307692,2.72160299,7.46443509,152.5742085,231.4008997,597.5706698,0.224559466,54.6503367,41.57517915,0.273278997,0.273278997,0.231260842,0.231260842,9.07832788,active,1
